time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0.0,-3.228132379919941e-06,2.5961774915101205e-08,-2.9905301183270807e-10,0.9999999999947892,-0.0059373062847408,-0.0022272607385085,0.0016801412714881,0.0402956981347907,-0.0033122173295827,9.78994224883683
0.01,-3.2281323804836514e-06,2.596177471479382e-08,-2.9905301185981307e-10,0.9999999999947892,0.0012654827081656495,0.00014577355509533263,0.0032116298904460543,0.05071574940765311,-0.03735811050217741,9.819766552759573
0.02,-3.228132378048452e-06,2.5961777460249e-08,-2.990530116160561e-10,0.9999999999947892,-0.0047169463749522685,-0.0019290344068279269,-0.003139040329575981,-0.03485165031453872,-0.00932652949497452,9.83112594973792
0.03,-3.2281323815828566e-06,2.5961774476749925e-08,-2.990530119313952e-10,0.9999999999947892,0.001337553584075511,0.005268620721678258,5.132368110794504e-05,0.045672409137830355,-0.01314009239919663,9.87253979996585
0.04,-3.2281323821550972e-06,2.5961773974373146e-08,-2.9905301198067155e-10,0.9999999999947892,-0.0039501079016195486,0.00033336878658171785,-0.002593272011404504,-0.03864045116506635,-0.07756664960511489,9.820074821396153
0.05,-3.2281323796394056e-06,2.5961774066477024e-08,-2.9905301172957524e-10,0.9999999999947892,-0.0013580771425871878,0.002551372337011132,-0.0011713788050814063,-0.02341289679558428,0.06164185962304135,9.82499454639217
0.06,-3.2281323801940406e-06,2.5961773918633163e-08,-2.99053011749425e-10,0.9999999999947892,0.0020851797509277323,-0.0017131210629761483,-0.0015477664296368464,0.058781319034268864,-0.02662357382144055,9.836588684645518
0.07,-3.2281323812643133e-06,2.59617757968908e-08,-2.9905301183605934e-10,0.9999999999947892,-0.0015830152285736157,0.0008652614006311767,-0.0008681252472980449,-0.018395137514904646,0.015585587799602844,9.880638797729146
0.08,-3.2281323812873687e-06,2.5961773714562988e-08,-2.990530118117898e-10,0.9999999999947892,0.002199889721227423,0.0012658564143485523,-0.0017854531866221283,0.01806685143203908,0.007324079336901851,9.80936043874719
0.09,-3.2281323796691e-06,2.5961775718233053e-08,-2.990530116493634e-10,0.9999999999947892,7.824497097974874e-05,2.8494371740138836e-05,8.548015750087668e-05,-0.037204038404396525,0.015266814037623477,9.777273813862935
0.1,-3.2281323793386326e-06,2.5961775512130072e-08,-2.9905301161474107e-10,0.9999999999947892,0.0061444795743502804,0.001027325730060955,0.0005419873569006428,-0.02363589047602964,0.02555812391270801,9.849109287449272
0.11,-3.228132382974117e-06,2.596177313872546e-08,-2.990530119235501e-10,0.9999999999947892,-0.0033042111448166028,-0.0008174503670735851,0.0031781266855818945,0.018430715499866804,0.019883145501178506,9.806191577905125
0.12,-3.2281323804687025e-06,2.596177599068222e-08,-2.9905301167295096e-10,0.9999999999947892,-0.00028587409878119176,6.614243906012045e-05,-0.0018145776743007163,-0.01847996700265915,-0.019304674980631216,9.832252395915763
0.13,-3.2281323810187682e-06,2.5961772796770705e-08,-2.9905301170843457e-10,0.9999999999947892,-0.0007621135651048227,4.6116959327851224e-05,0.0012045281752255323,-0.044297622188412725,0.022628694740028543,9.737299466032576
0.14,-3.228132380292505e-06,2.5961775784590796e-08,-2.990530116061955e-10,0.9999999999947892,-0.0025976667627679107,-0.0018255375349320452,-0.0012720662509429124,-0.029489321612787812,-0.009698104784534506,9.792430373058556
0.15,-3.2281323821288015e-06,2.5961774317294875e-08,-2.9905301177975295e-10,0.9999999999947892,-0.002042680167716461,0.00045997381112122316,0.0029124618082784367,-0.029549742344843,-0.05909535456003015,9.726505348192001
0.16,-3.228132380984831e-06,2.5961774053847498e-08,-2.9905301165213956e-10,0.9999999999947892,-0.001238131987900473,-0.0016339198122776956,0.0004850612093484259,0.0015278971793295376,0.0622175098864998,9.829288791753081
