msg_timestamp,receive_timestamp,system_timestamp_ns,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
15.24,1765500280.274798,1765500280274812438,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.245,1765500280.279734,1765500280279737578,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.25,1765500280.2848725,1765500280284884390,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.255,1765500280.2899804,1765500280289989515,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.26,1765500280.295053,1765500280295060404,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.265,1765500280.300397,1765500280300407233,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.27,1765500280.3053985,1765500280305411325,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.275,1765500280.3102925,1765500280310302044,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.28,1765500280.3153098,1765500280315317324,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.285,1765500280.3204758,1765500280320486887,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.29,1765500280.3254435,1765500280325451987,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.295,1765500280.330391,1765500280330398102,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.3,1765500280.3356166,1765500280335628906,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.305,1765500280.340785,1765500280340788951,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.31,1765500280.3457944,1765500280345802184,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.315,1765500280.351126,1765500280351136628,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.32,1765500280.356259,1765500280356270884,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.325,1765500280.361185,1765500280361193021,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.33,1765500280.3663607,1765500280366371917,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.335,1765500280.3713582,1765500280371370120,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.34,1765500280.3763201,1765500280376330753,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.345,1765500280.3812234,1765500280381230857,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.35,1765500280.3864305,1765500280386442196,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.355,1765500280.391363,1765500280391368663,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.36,1765500280.396377,1765500280396382965,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.365,1765500280.4016087,1765500280401619852,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.37,1765500280.4065924,1765500280406599278,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.375,1765500280.4121027,1765500280412111119,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
15.38,1765500280.4170787,1765500280417092434,9.600088817852202e-09,1.1809620755015201e-06,0.0,-3.2013002836968722e-06,2.591956028220988e-08,4.383050258760877e-14,0.9999999999948755,0.0,0.0,0.0,0.0,0.0,0.0
