msg_timestamp,receive_timestamp,system_timestamp_ns,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
15.353,1765500280.3893435,1765500280389349857,1.829019794723413e-11,-9.551678317708834e-20,0.0,0.0,0.0,-5.381984814363243e-10,1.0,2.054150614253985e-11,0.0,0.0,0.0,0.0,-3.750694685341265e-10
15.358,1765500280.3943012,1765500280394308004,1.839290547794683e-11,-9.562752986350643e-20,0.0,0.0,0.0,-5.391361551076596e-10,1.0,2.054150614253985e-11,0.0,0.0,0.0,0.0,-3.750694685341265e-10
15.362,1765500280.399348,1765500280399357486,1.8245078317382232e-11,-9.5468098508359e-20,0.0,0.0,0.0,-5.392491966243805e-10,1.0,-3.695679014114918e-11,0.0,0.0,0.0,0.0,-5.652075836040606e-11
15.367,1765500280.4044793,1765500280404489946,1.8060294366676485e-11,-9.526875709377956e-20,0.0,0.0,0.0,-5.393904985202815e-10,1.0,-3.695679014114918e-11,0.0,0.0,0.0,0.0,-5.652075836040606e-11
15.372,1765500280.4093454,1765500280409351504,1.802291745923171e-11,-9.522844485977937e-20,0.0,0.0,0.0,-5.392665786990363e-10,1.0,-7.475381488955366e-12,-0.0,0.0,0.0,0.0,4.9567928498074265e-11
15.377,1765500280.41438,1765500280414386212,1.7985540551786933e-11,-9.518814188925857e-20,0.0,0.0,0.0,-5.391426588777911e-10,1.0,-7.475381488955366e-12,-0.0,0.0,0.0,0.0,4.9567928498074265e-11
15.382,1765500280.4193907,1765500280419397751,1.808749229594678e-11,-9.529806685911185e-20,0.0,0.0,0.0,-5.391029391362994e-10,1.0,2.039034883196908e-11,-0.0,0.0,0.0,0.0,1.588789659667472e-11
15.387,1765500280.4243267,1765500280424331151,1.8189444040106624e-11,-9.54079837299713e-20,0.0,0.0,0.0,-5.390632193948076e-10,1.0,2.039034883196908e-11,-0.0,0.0,0.0,0.0,1.588789659667472e-11
15.392,1765500280.4292736,1765500280429278462,1.8258631119668825e-11,-9.548247706975977e-20,0.0,0.0,0.0,-5.383471903992082e-10,1.0,1.3837415912440323e-11,-0.0,0.0,0.0,0.0,2.8641159823979015e-10
15.397,1765500280.434367,1765500280434375586,1.8327818199231026e-11,-9.555687132963807e-20,0.0,0.0,0.0,-5.376311614036088e-10,1.0,1.3837415912440323e-11,-0.0,0.0,0.0,0.0,2.8641159823979015e-10
15.402,1765500280.4392753,1765500280439281609,1.8237483890029858e-11,-9.545981558340414e-20,0.0,0.0,0.0,-5.372031241075729e-10,1.0,-1.8066861840233386e-11,-0.0,0.0,0.0,0.0,1.7121491841436473e-10
15.407,1765500280.444228,1765500280444232428,1.814714958082869e-11,-9.536283717007711e-20,0.0,0.0,0.0,-5.367750868115369e-10,1.0,-1.8066861840233386e-11,-0.0,0.0,0.0,0.0,1.7121491841436473e-10
15.412,1765500280.4493499,1765500280449357772,1.8164525202342747e-11,-9.538147646951981e-20,0.0,0.0,0.0,-5.36363531733863e-10,1.0,3.4751243028114087e-12,-0.0,0.0,0.0,0.0,1.6462203106958464e-10
15.417,1765500280.4544609,1765500280454473132,1.8181900823856804e-11,-9.540010146691199e-20,0.0,0.0,0.0,-5.359519766561891e-10,1.0,3.4751243028114087e-12,-0.0,0.0,0.0,0.0,1.6462203106958464e-10
15.422,1765500280.4593322,1765500280459342199,1.835635478319643e-11,-9.558728317082382e-20,0.0,0.0,0.0,-5.364788068450204e-10,1.0,3.489079186792543e-11,0.0,0.0,0.0,0.0,-2.1073207553252998e-10
15.427,1765500280.4643338,1765500280464341163,1.8530808742536058e-11,-9.577464868996033e-20,0.0,0.0,0.0,-5.370056370338517e-10,1.0,3.489079186792543e-11,0.0,0.0,0.0,0.0,-2.1073207553252998e-10
15.431000000000001,1765500280.4695156,1765500280469527742,1.8676563771447196e-11,-9.593134198641644e-20,0.0,0.0,0.0,-5.375227792368379e-10,1.0,3.6438757227784227e-11,0.0,0.0,0.0,0.0,-2.585711014930888e-10
15.436,1765500280.4743817,1765500280474387380,1.8858757557586117e-11,-9.612744415722643e-20,0.0,0.0,0.0,-5.381692069905706e-10,1.0,3.6438757227784227e-11,0.0,0.0,0.0,0.0,-2.585711014930888e-10
15.441,1765500280.479343,1765500280479346563,1.8807943721049578e-11,-9.607276564511056e-20,0.0,0.0,0.0,-5.380277877321336e-10,1.0,-1.0162767307307706e-11,-0.0,0.0,0.0,0.0,5.6567703374820206e-11
15.446,1765500280.4843605,1765500280484368736,1.875712988451304e-11,-9.601810150510485e-20,0.0,0.0,0.0,-5.378863684736966e-10,1.0,-1.0162767307307706e-11,-0.0,0.0,0.0,0.0,5.6567703374820206e-11
15.451,1765500280.489272,1765500280489279775,1.86056808834191e-11,-9.585516238986375e-20,0.0,0.0,0.0,-5.37933938369237e-10,1.0,-3.0289800218787767e-11,0.0,0.0,0.0,0.0,-1.9027958216127752e-11
15.456,1765500280.4942243,1765500280494228234,1.845423188232516e-11,-9.569220886579633e-20,0.0,0.0,0.0,-5.379815082647774e-10,1.0,-3.0289800218787767e-11,0.0,0.0,0.0,0.0,-1.9027958216127752e-11
15.461,1765500280.4993734,1765500280499381638,1.8603318423018054e-11,-9.585247227823235e-20,0.0,0.0,0.0,-5.374845096384192e-10,1.0,2.981730813857918e-11,-0.0,0.0,0.0,0.0,1.9879945054325953e-10
15.466,1765500280.5043256,1765500280504332316,1.875240496371095e-11,-9.601258749905651e-20,0.0,0.0,0.0,-5.369875110120611e-10,1.0,2.981730813857918e-11,-0.0,0.0,0.0,0.0,1.9879945054325953e-10
15.471,1765500280.509268,1765500280509273092,1.8748939193817948e-11,-9.600886551014722e-20,0.0,0.0,0.0,-5.36964227891288e-10,1.0,-6.931539786001362e-13,-0.0,0.0,0.0,0.0,9.313248309233319e-12
15.476,1765500280.5142217,1765500280514225634,1.8745473423924946e-11,-9.600514368262581e-20,0.0,0.0,0.0,-5.36940944770515e-10,1.0,-6.931539786001362e-13,-0.0,0.0,0.0,0.0,9.313248309233319e-12
15.481,1765500280.5192685,1765500280519273524,1.857827863059091e-11,-9.582561755589705e-20,0.0,0.0,0.0,-5.368771453609024e-10,1.0,-3.3438958666806986e-11,-0.0,0.0,0.0,0.0,2.5519763845005704e-11
15.486,1765500280.5242639,1765500280524267833,1.8411083837256874e-11,-9.564611276302649e-20,0.0,0.0,0.0,-5.368133459512899e-10,1.0,-3.3438958666806986e-11,-0.0,0.0,0.0,0.0,2.5519763845005704e-11
15.49,1765500280.5293229,1765500280529330144,1.8365246256632245e-11,-9.559692719296415e-20,0.0,0.0,0.0,-5.365201368842562e-10,1.0,-1.1459395156156893e-11,-0.0,0.0,0.0,0.0,1.466045335168293e-10
15.495,1765500280.5343497,1765500280534355076,1.8307949280851462e-11,-9.553548723036826e-20,0.0,0.0,0.0,-5.361536255504642e-10,1.0,-1.1459395156156893e-11,-0.0,0.0,0.0,0.0,1.466045335168293e-10
15.5,1765500280.53931,1765500280539313573,1.8368926390865038e-11,-9.560086540687423e-20,0.0,0.0,0.0,-5.360878573239153e-10,1.0,1.2195422002715541e-11,-0.0,0.0,0.0,0.0,2.6307290619541548e-11
15.505,1765500280.5442922,1765500280544295791,1.8429903500878615e-11,-9.566623556266742e-20,0.0,0.0,0.0,-5.360220890973665e-10,1.0,1.2195422002715541e-11,-0.0,0.0,0.0,0.0,2.6307290619541548e-11
15.51,1765500280.549254,1765500280549257533,1.8477653058621663e-11,-9.571740036992397e-20,0.0,0.0,0.0,-5.357621062363333e-10,1.0,9.5499115486096e-12,-0.0,0.0,0.0,0.0,1.0399314441330528e-10
15.515,1765500280.554517,1765500280554519964,1.852540261636471e-11,-9.576854034904723e-20,0.0,0.0,0.0,-5.355021233753e-10,1.0,9.5499115486096e-12,-0.0,0.0,0.0,0.0,1.0399314441330528e-10
15.52,1765500280.5593805,1765500280559384057,1.852182071971214e-11,-9.576470564794854e-20,0.0,0.0,0.0,-5.352891876328653e-10,1.0,-7.163793305144762e-13,-0.0,0.0,0.0,0.0,8.51742969738808e-11
15.525,1765500280.5644612,1765500280564464208,1.8518238823059568e-11,-9.576087247227751e-20,0.0,0.0,0.0,-5.350762518904306e-10,1.0,-7.163793305144762e-13,-0.0,0.0,0.0,0.0,8.51742969738808e-11
15.53,1765500280.5697117,1765500280569714846,1.8514656926406997e-11,-9.575704082203412e-20,0.0,0.0,0.0,-5.348633161479959e-10,1.0,-7.163793305144762e-13,-0.0,0.0,0.0,0.0,8.51742969738808e-11
15.535,1765500280.5745769,1765500280574579715,1.8436913504117342e-11,-9.567384639523627e-20,0.0,0.0,0.0,-5.350576572760271e-10,1.0,-1.5548684457931052e-11,0.0,0.0,0.0,0.0,-7.773645121246415e-11
15.54,1765500280.5796523,1765500280579655924,1.8359170081827686e-11,-9.559062175094966e-20,0.0,0.0,0.0,-5.352519984040582e-10,1.0,-1.5548684457931052e-11,0.0,0.0,0.0,0.0,-7.773645121246415e-11
15.545,1765500280.584465,1765500280584478900,1.8392348193814013e-11,-9.562614616318808e-20,0.0,0.0,0.0,-5.353591586685633e-10,1.0,6.6356223972654044e-12,0.0,0.0,0.0,0.0,-4.2864105802041035e-11
15.549,1765500280.5894165,1765500280589427953,1.8418890683403075e-11,-9.565457024385915e-20,0.0,0.0,0.0,-5.354448868801674e-10,1.0,6.6356223972654044e-12,0.0,0.0,0.0,0.0,-4.2864105802041035e-11
15.554,1765500280.5944278,1765500280594433280,1.8310913816374454e-11,-9.553894726442572e-20,0.0,0.0,0.0,-5.354062523539261e-10,1.0,-2.1595373405724545e-11,-0.0,0.0,0.0,0.0,1.54538104965144e-11
15.559,1765500280.5993977,1765500280599408302,1.8202936949345832e-11,-9.54233326282625e-20,0.0,0.0,0.0,-5.353676178276849e-10,1.0,-2.1595373405724545e-11,-0.0,0.0,0.0,0.0,1.54538104965144e-11
15.564,1765500280.6044364,1765500280604446618,1.8086068201373538e-11,-9.529801977275641e-20,0.0,0.0,0.0,-5.361264567316336e-10,1.0,-2.3373749594459052e-11,0.0,0.0,0.0,0.0,-3.0353556157946446e-10
15.569,1765500280.609418,1765500280609424068,1.7969199453401243e-11,-9.517252954814508e-20,0.0,0.0,0.0,-5.368852956355822e-10,1.0,-2.3373749594459052e-11,0.0,0.0,0.0,0.0,-3.0353556157946446e-10
15.574,1765500280.6143265,1765500280614333636,1.7896621166423416e-11,-9.509454445174644e-20,0.0,0.0,0.0,-5.372481195544389e-10,1.0,-1.4515657395565321e-11,0.0,0.0,0.0,0.0,-1.4512956754266448e-10
15.579,1765500280.619532,1765500280619550149,1.782404287944559e-11,-9.501650668907079e-20,0.0,0.0,0.0,-5.376109434732956e-10,1.0,-1.4515657395565321e-11,0.0,0.0,0.0,0.0,-1.4512956754266448e-10
15.584,1765500280.624391,1765500280624402269,1.771089263435805e-11,-9.489473599543803e-20,0.0,0.0,0.0,-5.38092929178155e-10,1.0,-2.263004901750792e-11,0.0,0.0,0.0,0.0,-1.927942819437462e-10
15.589,1765500280.6293507,1765500280629360916,1.759774238927051e-11,-9.4772856228204e-20,0.0,0.0,0.0,-5.385749148830143e-10,1.0,-2.263004901750792e-11,0.0,0.0,0.0,0.0,-1.927942819437462e-10
15.594,1765500280.6343954,1765500280634405781,1.7531360676236203e-11,-9.470136970395408e-20,0.0,0.0,0.0,-5.384504329752313e-10,1.0,-1.3276342606861045e-11,-0.0,0.0,0.0,0.0,4.9792763113183255e-11
15.599,1765500280.6392806,1765500280639286759,1.7464978963201897e-11,-9.462989970634872e-20,0.0,0.0,0.0,-5.383259510674483e-10,1.0,-1.3276342606861045e-11,-0.0,0.0,0.0,0.0,4.9792763113183255e-11
15.604,1765500280.6442645,1765500280644271850,1.7367643985062873e-11,-9.452512124517712e-20,0.0,0.0,0.0,-5.38236424227336e-10,1.0,-1.9466995627804955e-11,-0.0,0.0,0.0,0.0,3.58107360449516e-11
15.609,1765500280.6493104,1765500280649319354,1.727030900692385e-11,-9.442036021219158e-20,0.0,0.0,0.0,-5.381468973872236e-10,1.0,-1.9466995627804955e-11,-0.0,0.0,0.0,0.0,3.58107360449516e-11
15.613,1765500280.6544976,1765500280654510766,1.7266146091369263e-11,-9.441587943262876e-20,0.0,0.0,0.0,-5.381780514235001e-10,1.0,-1.040728888646827e-12,0.0,0.0,0.0,0.0,-1.5577018138253695e-11
15.618,1765500280.6594083,1765500280659418615,1.726094244692603e-11,-9.441027805288893e-20,0.0,0.0,0.0,-5.382169939688457e-10,1.0,-1.040728888646827e-12,0.0,0.0,0.0,0.0,-1.5577018138253695e-11
15.623,1765500280.6644528,1765500280664464293,1.6932857876853394e-11,-9.405736804687756e-20,0.0,0.0,0.0,-5.37833897420465e-10,1.0,-6.561691401452682e-11,-0.0,0.0,0.0,0.0,1.5323861935230932e-10
15.628,1765500280.669419,1765500280669431675,1.660477330678076e-11,-9.370470941699894e-20,0.0,0.0,0.0,-5.374508008720842e-10,1.0,-6.561691401452682e-11,-0.0,0.0,0.0,0.0,1.5323861935230932e-10
15.633,1765500280.6744478,1765500280674459188,1.662459321503055e-11,-9.372601492428199e-20,0.0,0.0,0.0,-5.374774447624314e-10,1.0,3.963981649957621e-12,0.0,0.0,0.0,0.0,-1.0657556138881343e-11
15.638,1765500280.6793244,1765500280679330813,1.6644413123280337e-11,-9.374732148772395e-20,0.0,0.0,0.0,-5.375040886527787e-10,1.0,3.963981649957621e-12,0.0,0.0,0.0,0.0,-1.0657556138881343e-11
15.643,1765500280.6845396,1765500280684555702,1.6643581875735348e-11,-9.374642788273486e-20,0.0,0.0,0.0,-5.375083478311041e-10,1.0,-1.6624950899812456e-13,0.0,0.0,0.0,0.0,-1.7036713301770025e-12
15.648,1765500280.6894372,1765500280689445759,1.664275062819036e-11,-9.374553427066491e-20,0.0,0.0,0.0,-5.375126070094296e-10,1.0,-1.6624950899812456e-13,0.0,0.0,0.0,0.0,-1.7036713301770025e-12
15.653,1765500280.6943207,1765500280694326973,1.674144559441319e-11,-9.385163551731319e-20,0.0,0.0,0.0,-5.375210646950955e-10,1.0,1.9738993244566034e-11,0.0,0.0,0.0,0.0,-3.3830742663684164e-12
15.658,1765500280.6994517,1765500280699466052,1.684014056063602e-11,-9.395773843342348e-20,0.0,0.0,0.0,-5.375295223807615e-10,1.0,1.9738993244566034e-11,0.0,0.0,0.0,0.0,-3.3830742663684164e-12
15.663,1765500280.7044775,1765500280704494674,1.68328277858052e-11,-9.39498767254408e-20,0.0,0.0,0.0,-5.375324801160413e-10,1.0,-1.4625549661639409e-12,0.0,0.0,0.0,0.0,-1.183094111948092e-12
15.668,1765500280.7093067,1765500280709313989,1.6825515010974377e-11,-9.394201497419961e-20,0.0,0.0,0.0,-5.375354378513212e-10,1.0,-1.4625549661639409e-12,0.0,0.0,0.0,0.0,-1.183094111948092e-12
15.673,1765500280.7142699,1765500280714274731,1.6691359980396087e-11,-9.37977777607081e-20,0.0,0.0,0.0,-5.375766114389014e-10,1.0,-2.683100611565825e-11,0.0,0.0,0.0,0.0,-1.6469435032065013e-11
15.678,1765500280.7194338,1765500280719443713,1.6584035955933455e-11,-9.368238091965068e-20,0.0,0.0,0.0,-5.376095503089655e-10,1.0,-2.683100611565825e-11,0.0,0.0,0.0,0.0,-1.6469435032065013e-11
