time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
0.38,1.691316398361333e-11,-9.403646678771279e-20,0.0,0.0,0.0,-5.371782206276316e-10,1.0,-2.600219285634359e-12,0.0,0.0,0.0,0.0,7.507269000324451e-11
0.39,1.6771396123182372e-11,-9.38840486775931e-20,0.0,0.0,0.0,-5.376884350980339e-10,1.0,-1.5785968769977277e-11,0.0,0.0,0.0,0.0,-1.1428337681847105e-10
0.4,1.6752604485085272e-11,-9.386384416572782e-20,0.0,0.0,0.0,-5.375577382606414e-10,1.0,-1.8340026060263484e-12,0.0,0.0,0.0,0.0,2.6464144587475875e-11
0.41000000000000003,1.668912178489594e-11,-9.379560704593766e-20,0.0,0.0,0.0,-5.374102251305632e-10,1.0,-6.397928391641376e-12,0.0,0.0,0.0,0.0,2.973340580197372e-11
0.42,1.6996563180014188e-11,-9.412607058403836e-20,0.0,0.0,0.0,-5.374549462788247e-10,1.0,3.051020154777854e-11,0.0,0.0,0.0,0.0,-9.534510766148686e-12
0.43,1.690222291780538e-11,-9.402458309831393e-20,0.0,0.0,0.0,-5.380211067844144e-10,1.0,-9.486597053100877e-12,0.0,0.0,0.0,0.0,-1.138630836539433e-10
0.44,1.6849728997362803e-11,-9.396809489018287e-20,0.0,0.0,0.0,-5.380599505084531e-10,1.0,-5.884409419987003e-12,0.0,0.0,0.0,0.0,-8.094256891564413e-12
0.45,1.6419435963966844e-11,-9.350545978198219e-20,0.0,0.0,0.0,-5.374306597636827e-10,1.0,-4.2569514359061034e-11,0.0,0.0,0.0,0.0,1.232030284617575e-10
0.46,1.6543506717281493e-11,-9.363906044725711e-20,0.0,0.0,0.0,-5.387089195601647e-10,1.0,1.2790829311524294e-11,0.0,0.0,0.0,0.0,-2.6355933909935456e-10
0.47000000000000003,1.682184225530163e-11,-9.393892848576044e-20,0.0,0.0,0.0,-5.386614319398683e-10,1.0,2.83255017599342e-11,0.0,0.0,0.0,0.0,1.6354647881914864e-11
0.48,1.682748694791061e-11,-9.39450677233591e-20,0.0,0.0,0.0,-5.384415901916408e-10,1.0,-2.535827942084273e-11,0.0,0.0,0.0,0.0,7.264344424141377e-11
0.49,1.6673462850242932e-11,-9.377925369978603e-20,0.0,0.0,0.0,-5.380467626862798e-10,1.0,-1.1697463673525867e-12,0.0,0.0,0.0,0.0,7.150273819315634e-11
0.5,1.673228986690052e-11,-9.384255958789015e-20,0.0,0.0,0.0,-5.380591959913037e-10,1.0,1.2169847425267913e-11,0.0,0.0,0.0,0.0,-6.231926023100616e-11
0.51,1.6755370390562533e-11,-9.386740556235229e-20,0.0,0.0,0.0,-5.382087613813346e-10,1.0,-8.075685127246866e-12,0.0,0.0,0.0,0.0,6.6555065080129545e-12
0.52,1.6555872230111692e-11,-9.365272682242227e-20,0.0,0.0,0.0,-5.380107412653645e-10,1.0,-3.185556249467168e-11,0.0,0.0,0.0,0.0,7.25785955488001e-11
0.53,1.6272706890609705e-11,-9.334809236926277e-20,0.0,0.0,0.0,-5.38010134860831e-10,1.0,-2.5256423127790097e-11,0.0,0.0,0.0,0.0,-7.128694319446964e-11
