msg_timestamp,receive_timestamp,system_timestamp_ns,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
15.24,1765500280.2750797,1765500280275086295,-3.228132379919941e-06,2.5961774915101205e-08,-2.9905301183270807e-10,0.9999999999947892,-0.005937306284740802,-0.0022272607385085273,0.0016801412714881818,0.04029569813479079,-0.0033122173295827783,9.78994224883683
15.245,1765500280.2795653,1765500280279571117,-3.2281323802022035e-06,2.596177634853893e-08,-2.990530118598131e-10,0.9999999999947892,-7.468602480390574e-05,-0.0028288284246654432,0.002299166980531259,-0.05454457412050375,0.0070162180902030675,9.802876131149052
15.25,1765500280.285099,1765500280285104504,-3.2281323804845755e-06,2.5961774709429e-08,-2.990530118598131e-10,0.9999999999947892,0.0012698834967237896,0.00015554142539057293,0.0032146261969818145,0.05106139873971374,-0.03750382501762345,9.81982201680103
15.255,1765500280.2901647,1765500280290169102,-3.2281323807668386e-06,2.5961773070251313e-08,-2.990530118801419e-10,0.9999999999947892,-0.003437941813813405,0.004365078152824959,-0.0015291273025333698,0.030008800769920952,0.03515654840307175,9.796846609393132
15.26,1765500280.295211,1765500280295215901,-3.22813237797676e-06,2.596177757602665e-08,-2.9905301160909137e-10,0.9999999999947892,-0.004750677632826371,-0.0020950293847104492,-0.003181498654682877,-0.036562218570376524,-0.010499684163221864,9.832030000672573
15.265,1765500280.300615,1765500280300621569,-3.22813238133136e-06,2.5961775937140314e-08,-2.9905301190724697e-10,0.9999999999947892,0.0029384565764813938,-0.0033883947074944605,0.0012460142122770954,0.05065098153275738,-0.0056166050568712345,9.765818244586654
15.27,1765500280.305627,1765500280305632923,-3.2281323816136505e-06,2.596177429793552e-08,-2.99053011934352e-10,0.9999999999947892,0.0011415344165583937,0.006328610593431883,-9.495766415241379e-05,0.04506281841252908,-0.014061289831311302,9.88560709419967
15.275,1765500280.310484,1765500280310488074,-3.2281323818959983e-06,2.5961772658784935e-08,-2.9905301196823334e-10,0.9999999999947892,-0.0038197381544840276,-0.0024616046455872244,-0.002119890068983527,0.009486383303998806,-0.03812531630707889,9.781091211354475
15.28,1765500280.3154929,1765500280315498227,-3.2281323821783098e-06,2.596177409223621e-08,-2.9905301198178587e-10,0.9999999999947892,-0.0039617876794442895,0.0005837694311392,-0.002635682125983769,-0.042952116611636865,-0.08110018418772122,9.82356734872012
15.285,1765500280.320706,1765500280320712976,-3.2281323793881455e-06,2.5961775525545217e-08,-2.990530117175116e-10,0.9999999999947892,-0.0050960442998318626,-0.005142062464085291,0.0012866752868964477,-0.05117977858627515,0.08576920735496064,9.81127496142373
15.29,1765500280.3256214,1765500280325626079,-3.2281323796704146e-06,2.596177388640819e-08,-2.990530117310641e-10,0.9999999999947892,-0.0008967612298473874,0.0035008466764242696,-0.0014747360629982983,-0.019986086479076518,0.05866421723809663,9.826687729503709
